index,salary_id,employer_name,location_name,location_state,location_country,location_latitude,location_longitude,job_title,job_title_category,job_title_rank,total_experience_years,employer_experience_years,annual_base_pay,signing_bonus,annual_bonus,stock_value_bonus,comments,submitted_at,male_count,female_count,male_proportion,female_proportion
697,1462,google,belgium,NA,BE,50.83,4,operations engineer,Engineering,NA,6.5,1.5,67500,0,13500,14000,NA,3/21/16 15:00,93760,38431,0.7092767,0.2907233
698,1465,intel,"folsom, ca",CA,US,38.67,-121.14,software engineer,Software,NA,15,3,135000,25000,15000,5000,i know i am underpaid,3/21/16 15:01,120744,41259,0.7453195,0.2546805
701,1472,google,mtv,CA,US,NA,NA,software engineer ii,Software,2,3,2,121000,NA,70000,49000,NA,3/21/16 15:02,93760,38431,0.7092767,0.2907233
707,1483,google,kirkland wa usa,WA,US,NA,NA,software developer iii,Software,3,14,3,150000,20000,30000,60000,NA,3/21/16 15:04,93760,38431,0.7092767,0.2907233
720,1505,twitter,san francisco,CA,US,NA,NA,software engineer,Software,NA,5,2.5,133000,0,0,300000,NA,3/21/16 15:07,6058,3179,0.6558406,0.3441594
724,1510,twitter,san franciaco,CA,US,NA,NA,sr. software engineer,Software,Senior,10,2.5,150000,0,0,500000,Hired as part of an acquisition,3/21/16 15:08,6058,3179,0.6558406,0.3441594
731,1520,uber,san francisco,CA,US,NA,NA,software engineer ii,Software,2,3,1,145000,0,24000,350000,NA,3/21/16 15:10,8298,3472,0.7050127,0.2949873
738,1545,linkedin,"mountain view, ca",CA,US,37.41,-122.05,senior software engineer,Software,Senior,2,2,150000,0,15000,43000,NA,3/21/16 15:13,11719,7870,0.5982439,0.4017561
742,1551,facebook,menlo park,CA,US,NA,NA,software engineer,Software,NA,1,0,125000,25000,12000,25000,"I start this summer, hired out of grad school (MS), counting my 4 internship summers as one year experience.",3/21/16 15:14,21269,9659,0.687694,0.312306
743,1552,uber,san francisco,CA,US,NA,NA,software engineer ii,Software,2,5,1,137000,0,NA,NA,NA,3/21/16 15:14,8298,3472,0.7050127,0.2949873
753,1566,facebook,menlo park,CA,US,NA,NA,software engineer,Software,NA,3,2,145000,75000,15000,50000,NA,3/21/16 15:16,21269,9659,0.687694,0.312306
763,1587,google,zurich,NA,CH,NA,NA,software engineer,Software,NA,11,4,170000,30000,30000,30000,NA,3/21/16 15:21,93760,38431,0.7092767,0.2907233
770,1598,linkedin,bay area,CA,US,NA,NA,sr. software engineer,Software,Senior,8,4,146000,15000,14000,80000,NA,3/21/16 15:23,11719,7870,0.5982439,0.4017561
771,1600,ebay,"san jose, ca",CA,US,37.38,-121.89,mts1,Other,1,11,2,161000,10000,10,"27,000",NA,3/21/16 15:23,14648,9434,0.6082551,0.3917449
773,1604,airbnb,san francisco,CA,US,NA,NA,software engineer,Software,NA,3,1,110000,0,0,32000,NA,3/21/16 15:24,2943,2292,0.5621777,0.4378223
781,1614,google,mountain view,CA,US,NA,NA,swe (level 3),Software,NA,1,1,110000,20000,17000,70000,NA,3/21/16 15:27,93760,38431,0.7092767,0.2907233
803,1653,apple,cupertino,CA,US,NA,NA,engineer,Engineering,NA,3,3,110000,10000,10000,55000,NA,3/21/16 15:34,157655,69223,0.6948889,0.3051111
814,1683,twitter,boston,MA,US,NA,NA,software engineer,Software,NA,2,0,108000,15000,NA,100000,NA,3/21/16 15:39,6058,3179,0.6558406,0.3441594
826,1710,adobe,san francisco,CA,US,NA,NA,quality engineer,Engineering,NA,3,0.5,111360,NA,NA,420,NA,3/21/16 15:47,14244,6661,0.6813681,0.3186319
835,1726,salesforce,seattle,WA,US,NA,NA,software engineer,Software,NA,0,1,81000,123000,8100,NA,NA,3/21/16 15:50,28212,13189,0.6814328,0.3185672
